"PDB_ID","Bit_Length","Watermark_Embedded","Watermark_Decoded","Verification_Status","Global_CA_RMSD"
"4CLD","4","1010","1010","Success","0.00031"
"6B6U","4","1010","1010","Success","0.0003"
"2KTD","4","101","101","Success","0.00019"
"4R8M","4","1110","1110","Success","0.0004"
"1SHM","4","101","101","Success","0.00046"
"7AJP","4","1011","1011","Success","0.00021"
"4HJK","4","1111","1111","Success","0.00113"
"7R2H","4","1111","1111","Success","0.00076"
"7ZWW","4","0","0","Success","0.00086"
"1CK0","4","100","100","Success","0.00047"
"7.00E+85","4","0","0","Success","0.00054"
"7B42","4","111","111","Success","0.0006"
"8U6E","4","1111","1111","Success","0.00032"
"5IM3","4","1011","1011","Success","0.00024"
"2AHI","4","1000","1000","Success","0.00034"
"6M5T","4","110","110","Success","0.00063"
"9J5C","4","10","10","Success","0.00056"
"2O4L","4","101","101","Success","0.0007"
"2ICA","4","100","100","Success","0.00077"
"5KN0","4","10","10","Success","0.00027"
"1NKV","4","1100","1100","Success","0.00037"
"4V3Y","4","1100","1100","Success","0.00035"
"3B6I","4","110","110","Success","0.00049"
"7KBK","4","100","100","Success","0.00039"
"3K7P","4","101","101","Success","0.00056"
"3CJT","4","0","0","Success","0.00018"
"8BVJ","4","1101","1101","Success","0.0002"
"3EPN","4","101","101","Success","0.00031"
"7R62","4","1110","1110","Success","0.00061"
"6HPZ","4","1110","1110","Success","0.00084"
"2AE0","4","1010","1010","Success","0.00053"
"4D4Q","4","1101","1101","Success","0.0004"
"5LV3","4","1100","1100","Success","0.00027"
"5REE","4","100","100","Success","0.00057"
"6UCD","4","1110","1110","Success","0.00054"
"8GF2","4","1000","1000","Success","0.00021"
"7KA0","4","110","110","Success","0.0002"
"8DD8","4","0","0","Success","0.00028"
"7ALK","4","0","0","Success","0.00065"
"4KNX","4","0","0","Success","0.00047"
"1L0F","4","1001","1001","Success","0.00036"
"3VB4","4","11","11","Success","0.0004"
"3FNE","4","100","100","Success","0.0003"
"9KPF","4","10","10","Success","0.0003"
"3PCM","4","1001","1001","Success","0.0002"
"7DGK","4","1110","1110","Success","0.00055"
"2N2L","4","111","111","Success","0.00025"
"2E6H","4","110","110","Success","0.00032"
"7BBD","4","1001","1001","Success","0.00044"
"3Q0V","4","0","0","Success","0.0005"
"4FTV","4","11","11","Success","0.00035"
"3GA3","4","1111","1111","Success","0.00087"
"3K52","4","1100","1100","Success","0.00044"
"2WDQ","4","111","111","Success","0.00018"
"6SOC","4","0","0","Success","0.00025"
"1O1V","4","11","11","Success","0.00028"
"5I6I","4","1101","1101","Success","0.00019"
"1UN9","4","11","11","Success","0.0003"
"1UW6","4","1101","1101","Success","0.00016"
"7SEO","4","1011","1011","Success","0.00045"
"5FLX","4","100","100","Success","0.00014"
"8B2O","4","1001","1001","Success","0.00061"
"8OTE","4","1011","1011","Success","0.0003"
"3MAM","4","10","10","Success","0.0006"
"6D3L","4","100","100","Success","0.00063"
"8F72","4","1101","1101","Success","0.00028"
"5CH6","4","110","110","Success","0.00034"
"4JML","4","1100","1100","Success","0.00049"
"4QWX","4","1110","1110","Success","0.00013"
"6M4R","4","1101","1101","Success","0.00029"
"2PR0","4","11","11","Success","0.00073"
"4V32","4","1100","1100","Success","0.00055"
"2EJ4","4","1","1","Success","0.00023"
"1LJ9","4","11","11","Success","0.00059"
"8YVJ","4","1","1","Success","0.00063"
"5SGT","4","11","11","Success","0.00027"
"5G43","4","1001","1001","Success","0.0006"
"8R98","4","11","11","Success","0.00019"
"4PS3","4","101","101","Success","0.00034"
"7MAC","4","1111","1111","Success","0.0007"
"6SEL","4","1111","1111","Success","0.00056"
"3LNO","4","1100","1100","Success","0.00041"
"2Z6V","4","111","111","Success","0.00049"
"1HPL","4","0","0","Success","0.00034"
"2KKY","4","1000","1000","Success","0.00022"
"3TD3","4","1011","1011","Success","0.00033"
"7GQJ","4","1101","1101","Success","0.0005"
"9D79","4","111","111","Success","0.00032"
"1Q4R","4","0","0","Success","0.00099"
"6ZE1","4","1001","1001","Success","0.00054"
"7AOO","4","1000","1000","Success","0.00039"
"1V30","4","1000","1000","Success","0.00091"
"1VJW","4","1000","1000","Success","0.00127"
"6MYQ","4","100","100","Success","0.0003"
"8GFV","4","1001","1001","Success","0.00033"
"8I23","4","100","100","Success","0.00018"
"5B35","4","1111","1111","Success","0.00067"
"3O8P","4","0","0","Success","0.00054"
"8J8X","4","1000","1000","Success","0.0005"
"6LU9","4","1101","1101","Success","0.0002"
"3AJX","4","11","11","Success","0.00035"
"8YXS","4","1010","1010","Success","0.00022"
"1T3K","4","1000","1000","Success","0.0002"
"2NOB","4","1101","1101","Success","0.00058"
"3JWU","4","1100","1100","Success","0.00034"
"5NI3","4","111","111","Success","0.00032"
"1WFH","4","0","0","Success","0.00027"
"5H19","4","0","0","Success","0.00051"
"4I88","4","1110","1110","Success","0.00033"
"8UXW","4","0","0","Success","0.00014"
"5RMK","4","111","111","Success","0.00029"
"6VJF","4","1","1","Success","0.00027"
"8HU7","4","101","101","Success","0.00086"
"5AW9","4","0","0","Success","0.00027"
"1A7M","4","1000","1000","Success","0.00016"
"6MMQ","4","100","100","Success","0.00042"
"8K8S","4","1000","1000","Success","0.00025"
"5TH6","4","1000","1000","Success","0.00035"
"3FDG","4","1010","1010","Success","0.00037"
"5B7Q","4","1101","1101","Success","0.00044"
"4OQ6","4","1000","1000","Success","0.0006"
"6U7H","4","1111","1111","Success","0.00019"
"7R69","4","0","0","Success","0.00028"
"5COL","4","1001","1001","Success","0.00057"
"4NL8","4","1000","1000","Success","0.00023"
"2PXI","4","1010","1010","Success","0.00054"
"7Z42","4","100","100","Success","0.00015"
"7Q28","4","11","11","Success","0.00042"
"2F3T","4","110","110","Success","0.00028"
"6FE8","4","1","1","Success","0.00025"
"5FS4","4","0","0","Success","0.00064"
"1LV5","4","1010","1010","Success","0.00029"
"2VN0","4","1100","1100","Success","0.00046"
"7EQX","4","1001","1001","Success","0.00036"
"6S1R","4","1100","1100","Success","0.00049"
"3THE","4","10","10","Success","0.00041"
"5IDO","4","1101","1101","Success","0.00044"
"7LPC","4","101","101","Success","0.00023"
"8KB8","4","1001","1001","Success","0.00031"
"5I1H","4","1111","1111","Success","0.00047"
"6CZ3","4","11","11","Success","0.00061"
"3TE1","4","11","11","Success","0.00028"
"6O2B","4","10","10","Success","0.00021"
"2CWH","4","1110","1110","Success","0.00038"
"6EYP","4","1111","1111","Success","0.00024"
"1Q0L","4","110","110","Success","0.00049"
"4CCT","4","1000","1000","Success","0.00025"
"1E7K","4","101","101","Success","0.00063"
"2V0V","4","1100","1100","Success","0.00037"
"7THX","4","1001","1001","Success","0.00036"
"8TLY","4","1101","1101","Success","0.00048"
"1P1C","4","1011","1011","Success","0.00051"
"8FXJ","4","111","111","Success","0.00047"
"9DBO","4","0","0","Success","0.00042"
"1OEZ","4","1100","1100","Success","0.00046"
"4LPH","4","101","101","Success","0.00054"
"4IJ9","4","0","0","Success","0.00052"
"8DVX","4","10","10","Success","0.00048"
"6SIN","4","110","110","Success","0.0006"
"5MX4","4","1001","1001","Success","0.00027"
"6AVW","4","1101","1101","Success","0.00069"
"1G6L","4","10","10","Success","0.0007"
"7L27","4","1001","1001","Success","0.00026"
"7MCM","4","1011","1011","Success","0.00045"
"6LP2","4","1000","1000","Success","0.00041"
"4EU8","4","110","110","Success","0.00031"
"3AZB","4","1000","1000","Success","0.00017"
"4UW1","4","1","1","Success","0.00024"
"5C1R","4","1011","1011","Success","0.00036"
"2.00E+49","4","111","111","Success","0.00027"
"4AUB","4","1101","1101","Success","0.0002"
"5EXV","4","11","11","Success","0.00032"
"3QBM","4","1100","1100","Success","0.00049"
"3I9J","4","10","10","Success","0.00044"
"1VBM","4","1001","1001","Success","0.00038"
"4WRV","4","11","11","Success","0.00066"
"1FEZ","4","110","110","Success","0.00031"
"4PLZ","4","111","111","Success","0.00056"
"9BMU","4","1100","1100","Success","0.00018"
"3UN1","4","111","111","Success","0.00032"
"4WHR","4","1010","1010","Success","0.00027"
"6R5D","4","1110","1110","Success","0.00036"
"5ZTO","4","110","110","Success","0.00059"
"2XXJ","4","101","101","Success","0.00029"
"2VZE","4","1010","1010","Success","0.00024"
"6NAS","4","1101","1101","Success","0.00038"
"5VR5","4","1","1","Success","0.00066"
"6DJD","4","11","11","Success","0.00033"
"7ST4","4","1100","1100","Success","0.00049"
"3GFG","4","111","111","Success","0.00016"
"4R1J","4","1100","1100","Success","0.00075"
"5D5C","4","1111","1111","Success","0.00086"
"3JUH","4","1111","1111","Success","0.00037"
"3RH0","4","1100","1100","Success","0.00063"
"5K48","4","11","11","Success","0.00046"
"8R56","4","1","1","Success","0.00019"
"5HZS","4","10","10","Success","0.00019"
"3ZJQ","4","110","110","Success","0.00051"
"4DC6","4","1011","1011","Success","0.00068"
"7ZGS","4","101","101","Success","0.00032"
"8PNO","4","11","11","Success","0.0005"
"1X1G","4","111","111","Success","0.0002"
"7KBJ","4","110","110","Success","0.00022"
"4YZD","4","1101","1101","Success","0.0003"
"4N9Y","4","1010","1010","Success","0.00044"
"4IG0","4","1","1","Success","0.00032"
"5DNK","4","1000","1000","Success","0.00032"
"5BW9","4","1000","1000","Success","0.0001"
"6ON8","4","100","100","Success","0.00086"
"4BDU","4","1","1","Success","0.00028"
"7.00E+89","4","10","10","Success","0.00018"
"5XL1","4","11","11","Success","0.00032"
"7DTV","4","101","101","Success","0.00025"
"7UUI","4","11","11","Success","0.00047"
"2CZR","4","1101","1101","Success","0.00068"
"8X79","4","11","11","Success","0.00031"
"8GI7","4","1111","1111","Success","0.00026"
"7M0H","4","101","101","Success","0.00059"
"1LL2","4","0","0","Success","0.00062"
"2P70","4","1000","1000","Success","0.00084"
"2H9G","4","0","0","Success","0.00031"
"6TAB","4","110","110","Success","0.00074"
"5U7R","4","1011","1011","Success","0.00024"
"5JEY","4","1110","1110","Success","0.0007"
"9EUZ","4","1001","1001","Success","0.00024"
"6L6J","4","0","0","Success","0.00038"
"6QKX","4","110","110","Success","0.00038"
"4ICR","4","0","0","Success","0.00035"
"4RCE","4","1011","1011","Success","0.00052"
"4K50","4","1","1","Success","0.00022"
"7RBS","4","11","11","Success","0.0002"
"9BZ7","4","1010","1010","Success","0.00022"
"5VLC","4","1110","1110","Success","0.0002"
"6L1T","4","10","10","Success","0.00031"
"5OHS","4","11","11","Success","0.00014"
"4J4M","4","100","100","Success","0.00049"
"2W4I","4","1100","1100","Success","0.00032"
"4BML","4","10","10","Success","0.00021"
"3CTM","4","1","1","Success","0.00021"
"8J7P","4","10","10","Success","0.00047"
"4BQA","4","1011","1011","Success","0.00055"
"1EGD","4","1111","1111","Success","0.00026"
"2OTH","4","1101","1101","Success","0.00091"
"6SE7","4","1111","1111","Success","0.00033"
"4C3K","4","110","110","Success","0.0004"
"3SYR","4","111","111","Success","0.00035"
"2Q5I","4","1001","1001","Success","0.00043"
"3PZR","4","1001","1001","Success","0.00035"
"2JZC","4","1100","1100","Success","0.00023"
"3SD6","4","1011","1011","Success","0.00106"
"4GCH","4","100","100","Success","0.00065"
"4M9P","4","11","11","Success","0.00057"
"2F26","4","1011","1011","Success","0.00053"
"1NTP","4","1001","1001","Success","0.00067"
"4XWK","4","1000","1000","Success","0.00029"
"1JMC","4","1110","1110","Success","0.00065"
"1PRH","4","110","110","Success","0.00029"
"2FU7","4","1111","1111","Success","0.00043"
"3U1V","4","1111","1111","Success","0.00029"
"8UHI","4","0","0","Success","0.00015"
"6.00E+69","4","0","0","Success","0.00033"
"6C3I","4","10","10","Success","0.00034"
"6LBR","4","111","111","Success","0.00037"
"2ECM","4","1101","1101","Success","0.0003"
"7CX6","4","1100","1100","Success","0.00033"
"4B21","4","1000","1000","Success","0.00069"
"3QQQ","4","1101","1101","Success","0.00059"
"6OBF","4","1101","1101","Success","0.00058"
"6OHO","4","101","101","Success","0.00029"
"6KY1","4","110","110","Success","0.00043"
"3GPA","4","1001","1001","Success","0.00035"
"4R6P","4","100","100","Success","0.00041"
"5BJ3","4","101","101","Success","0.00027"
"5JQW","4","1000","1000","Success","0.00053"
"4XNV","4","1111","1111","Success","0.00052"
"4BJB","4","100","100","Success","0.00069"
"8ZF9","4","100","100","Success","0.00027"
"6RXP","4","110","110","Success","0.00045"
"9DP5","4","111","111","Success","0.00037"
"4JSG","4","111","111","Success","0.00035"
"4QQW","4","1011","1011","Success","0.00016"
"1P35","4","111","111","Success","0.00032"
"1AUS","4","1011","1011","Success","0.0002"
"2RSP","4","11","11","Success","0.00064"
"3J8D","4","0","0","Success","0.00022"
"6I3U","4","110","110","Success","0.00042"
"5SWG","4","1111","1111","Success","0.00028"
"6YID","4","1000","1000","Success","0.00031"
"4XL9","4","1110","1110","Success","0.00041"
"2AIU","4","110","110","Success","0.00096"
"8W5P","4","1001","1001","Success","0.00046"
"5Y7G","4","1101","1101","Success","0.00025"
"8OVB","4","1110","1110","Success","0.00025"
"4RAO","4","1101","1101","Success","0.00035"
"8OI9","4","1001","1001","Success","0.00038"
"5N7X","4","11","11","Success","0.00029"
"6GBD","4","1","1","Success","0.0002"
"9I62","4","1001","1001","Success","0.00019"
"4DQP","4","1011","1011","Success","0.00027"
"1ZK9","4","1","1","Success","0.00092"
"1RG2","4","1000","1000","Success","0.00034"
"2IV9","4","1010","1010","Success","0.00045"
"1Y1J","4","0","0","Success","0.0006"
"2WE6","4","11","11","Success","0.00047"
"2XU7","4","1001","1001","Success","0.00036"
"6PQX","4","11","11","Success","0.00032"
"8PLU","4","1001","1001","Success","0.00029"
"2C4M","4","1011","1011","Success","0.00018"
"4BIV","4","1110","1110","Success","0.00043"
"2PL7","4","101","101","Success","0.00084"
"4Z2T","4","1111","1111","Success","0.00029"
"4I37","4","1101","1101","Success","0.00046"
"2WIN","4","1110","1110","Success","0.00011"
"3EYB","4","1","1","Success","0.00035"
"6TWA","4","1001","1001","Success","0.00043"
"8QKG","4","1001","1001","Success","0.00038"
"4XXH","4","100","100","Success","0.00044"
"6NYH","4","100","100","Success","0.00045"
"7QRT","4","1100","1100","Success","0.0007"
"5KXB","4","0","0","Success","0.00031"
"1DJB","4","101","101","Success","0.0006"
"8HT1","4","1000","1000","Success","0.00051"
"6MV3","4","11","11","Success","0.0002"
"6RHK","4","10","10","Success","0.00057"
"7YP8","4","10","10","Success","0.00033"
"7RT5","4","1001","1001","Success","0.00075"
"7XKE","4","1000","1000","Success","0.00031"
"7MBP","4","100","100","Success","0.00016"
"2NPK","4","1110","1110","Success","0.00052"
"9RCQ","4","1110","1110","Success","0.00018"
"3TQ7","4","0","0","Success","0.00063"
"8B9X","4","1100","1100","Success","0.00042"
"3UKG","4","1111","1111","Success","0.00066"
"7WD8","4","1011","1011","Success","0.00044"
"1DX0","4","1100","1100","Success","0.00099"
"6XMF","4","1101","1101","Success","0.00038"
"5Z23","4","11","11","Success","0.00037"
"4IN6","4","1110","1110","Success","0.00035"
"3UDX","4","100","100","Success","0.00029"
"6VY2","4","1100","1100","Success","0.0002"
"8Q3Z","4","0","0","Success","0.00033"
"1H7F","4","101","101","Success","0.00044"
"7T8W","4","101","101","Success","0.00046"
"6Z8R","4","101","101","Success","0.00027"
"1NJG","4","101","101","Success","0.00046"
"5PUQ","4","1000","1000","Success","0.00061"
"8K4W","4","11","11","Success","0.00057"
"7YKQ","4","1110","1110","Success","0.00032"
"1YJG","4","1101","1101","Success","0.00038"
"5LW8","4","100","100","Success","0.00023"
"3PU9","4","1000","1000","Success","0.00046"
"6N8B","4","1001","1001","Success","0.00051"
"1PR4","4","10","10","Success","0.00038"
"1V2I","4","1011","1011","Success","0.00033"
"8U0Q","4","100","100","Success","0.00032"
"7F1E","4","110","110","Success","0.00046"
"8GR8","4","1110","1110","Success","0.00034"
"6MIP","4","10","10","Success","0.00084"
"1D2H","4","111","111","Success","0.00031"
"4FWY","4","1011","1011","Success","0.00081"
"6NVZ","4","11","11","Success","0.00029"
"1Q62","4","100","100","Success","0.00053"
"2DT8","4","101","101","Success","0.0006"
"8ZPE","4","110","110","Success","0.00026"
"1J8C","4","1","1","Success","0.00022"
"8IK7","4","0","0","Success","0.00068"
"2YXH","4","110","110","Success","0.00065"
"6LZX","4","0","0","Success","0.00032"
"5QMV","4","100","100","Success","0.00051"
"3PSK","4","1011","1011","Success","0.00036"
"5H6G","4","100","100","Success","0.00037"
"7D4V","4","11","11","Success","0.00079"
"8DKG","4","1001","1001","Success","0.00027"
"4GP7","4","1011","1011","Success","0.00053"
"7HOL","4","0","0","Success","0.00067"
"9IIR","4","1111","1111","Success","0.00022"
"5TCF","4","1101","1101","Success","0.0002"
"4FLU","4","1110","1110","Success","0.00037"
"4C8X","4","1011","1011","Success","0.00042"
"9N58","4","1111","1111","Success","0.00029"
"6N7Z","4","10","10","Success","0.00053"
"3VGN","4","111","111","Success","0.00059"
"1IBL","4","1110","1110","Success","0.0002"
"7TZJ","4","1010","1010","Success","0.00039"
"7PHI","4","0","0","Success","0.00025"
"2EQG","4","100","100","Success","0.00031"
"2DLO","4","1100","1100","Success","0.00025"
"3TVV","4","1100","1100","Success","0.00045"
"1DOR","4","111","111","Success","0.0004"
"6WX1","4","1011","1011","Success","0.00048"
"3DBM","4","1110","1110","Success","0.00045"
"7KH4","4","1001","1001","Success","0.00023"
"3SIY","4","0","0","Success","0.00033"
"1P2D","4","1110","1110","Success","0.00035"
"1RJX","4","1001","1001","Success","0.00064"
"6HCU","4","1100","1100","Success","0.00031"
"5F58","4","1","1","Success","0.00061"
"6JEP","4","1000","1000","Success","0.00029"
"8UCJ","4","1011","1011","Success","0.00022"
"3THW","4","10","10","Success","0.00024"
"1L32","4","11","11","Success","0.00077"
"5OU9","4","110","110","Success","0.00048"
"7CAZ","4","1000","1000","Success","0.00032"
"8ZXC","4","100","100","Success","0.00015"
"4URY","4","1001","1001","Success","0.0004"
"2W76","4","1001","1001","Success","0.00025"
"4Q0P","4","1010","1010","Success","0.00063"
"6ZHE","4","100","100","Success","0.0001"
"5VI7","4","0","0","Success","0.00048"
"2V6T","4","1111","1111","Success","0.00069"
"6G77","4","1010","1010","Success","0.00041"
"8J56","4","101","101","Success","0.00039"
"4XIK","4","1111","1111","Success","0.00038"
"1VHK","4","0","0","Success","0.00034"
"7JVX","4","1111","1111","Success","0.00057"
"7K4Z","4","1011","1011","Success","0.00056"
"8YNN","4","1101","1101","Success","0.00029"
"4M3Q","4","1001","1001","Success","0.00045"
"3GIQ","4","101","101","Success","0.00032"
"5UFZ","4","110","110","Success","0.0007"
"1FNF","4","110","110","Success","0.0005"
"4X0L","4","111","111","Success","0.00043"
"7Q6D","4","101","101","Success","0.00051"
"4N36","4","1101","1101","Success","0.00045"
"5AC9","4","10","10","Success","0.00037"
"7TUX","4","1111","1111","Success","0.00031"
"9FQO","4","1100","1100","Success","0.00047"
"3U6M","4","1011","1011","Success","0.00062"
"1P68","4","1111","1111","Success","0.00025"
"9G00","4","1100","1100","Success","0.00018"
"8HIG","4","1","1","Success","0.00072"
"1LP3","4","0","0","Success","0.00042"
"7G9F","4","110","110","Success","0.00046"
"1R09","4","101","101","Success","0.00034"
"4L1Z","4","1011","1011","Success","0.00058"
"5QY3","4","110","110","Success","0.00038"
"5WPR","4","11","11","Success","0.00068"
"2JVN","4","1101","1101","Success","0.00028"
"3QKP","4","11","11","Success","0.0006"
"3AZM","4","100","100","Success","0.00037"
"6MJX","4","1010","1010","Success","0.00055"
"9B67","4","1001","1001","Success","0.00021"
"5WBW","4","1010","1010","Success","0.0003"
"2RHD","4","1100","1100","Success","0.00078"
"7NCA","4","0","0","Success","0.00037"
"8G1T","4","1001","1001","Success","0.00042"
"3GV6","4","1010","1010","Success","0.00127"
"8Y9C","4","1001","1001","Success","0.00024"
"2BKR","4","1110","1110","Success","0.00059"
"5HJK","4","0","0","Success","0.00052"
"6LH8","4","11","11","Success","0.00081"
"3MM8","4","1101","1101","Success","0.00025"
"2G6W","4","1100","1100","Success","0.00051"
"4QWJ","4","1011","1011","Success","0.00013"
"3OE8","4","1000","1000","Success","0.00028"
"8RFP","4","1101","1101","Success","0.00053"
"7RL6","4","0","0","Success","0.00015"
"6BRT","4","0","0","Success","0.00021"
"5V2V","4","111","111","Success","0.00058"
"6VSS","4","1110","1110","Success","0.00023"
"3FSG","4","110","110","Success","0.00031"
"2BXC","4","1110","1110","Success","0.00029"
"3UIC","4","11","11","Success","0.00014"
"5XEO","4","100","100","Success","0.00039"
"8FRI","4","0","0","Success","0.00036"
"6RJK","4","1","1","Success","0.00033"
"3OXR","4","1100","1100","Success","0.0005"
"8IJZ","4","1110","1110","Success","0.00091"
"6FL2","4","1101","1101","Success","0.00041"
"3ZPV","4","1","1","Success","0.00023"
"6ALZ","4","10","10","Success","0.0004"
"6I4H","4","101","101","Success","0.00043"
"3X22","4","1011","1011","Success","0.00047"
"3QLJ","4","111","111","Success","0.00024"
"6E9T","4","100","100","Success","0.00013"
"5Y4H","4","110","110","Success","0.00062"
"4UH6","4","1011","1011","Success","0.00034"
"7BUX","4","1","1","Success","0.00038"
"5W5A","4","1110","1110","Success","0.00047"
"3B6G","4","101","101","Success","0.00036"
"1XIA","4","100","100","Success","0.00037"
"8GEZ","4","10","10","Success","0.00043"
"4HWN","4","1110","1110","Success","0.00103"
"7MZT","4","11","11","Success","0.00045"
"6B6F","4","10","10","Success","0.00059"
"1KCA","4","101","101","Success","0.00035"
"5LYF","4","110","110","Success","0.00057"
"6FF9","4","101","101","Success","0.00035"
"6XJZ","4","1110","1110","Success","0.00033"
"5K53","4","111","111","Success","0.00045"
"8D5C","4","10","10","Success","0.00019"
"1KRF","4","10","10","Success","0.00031"
"3M24","4","110","110","Success","0.00033"
"8A1B","4","1010","1010","Success","0.00056"
"4DFC","4","1101","1101","Success","0.0005"
"3B9J","4","10","10","Success","0.0002"
"3ON0","4","110","110","Success","0.00047"
"5CJ7","4","10","10","Success","0.00047"
"2OUY","4","100","100","Success","0.00039"
"8QFJ","4","1000","1000","Success","0.00052"
"4WI8","4","10","10","Success","0.00049"
"3B74","4","1010","1010","Success","0.00057"
"4K8V","4","1111","1111","Success","0.00027"
"7W34","4","1010","1010","Success","0.00067"
"8WK3","4","1010","1010","Success","0.00014"
"3M6F","4","1010","1010","Success","0.00072"
"1NWC","4","1","1","Success","0.00036"
"4YMA","4","10","10","Success","0.00042"
"8K3D","4","110","110","Success","0.00098"
"5Q8Z","4","1100","1100","Success","0.00053"
"9LSA","4","1001","1001","Success","0.00048"
"6QI0","4","1110","1110","Success","0.0004"
"4HOT","4","1010","1010","Success","0.00046"
"2EJG","4","100","100","Success","0.00041"
"1PPK","4","101","101","Success","0.00054"
"7H77","4","1011","1011","Success","0.00038"
"5RWN","4","1010","1010","Success","0.00041"
"6EDZ","4","1","1","Success","0.00019"
"6J6A","4","100","100","Success","0.00034"
"3L4B","4","1000","1000","Success","0.00027"
"7AF5","4","1111","1111","Success","0.00029"
"1WKJ","4","11","11","Success","0.0006"
"2ISH","4","1010","1010","Success","0.00034"
"8AMS","4","1010","1010","Success","0.00042"
"2YZQ","4","1011","1011","Success","0.00066"
"4M2L","4","110","110","Success","0.00051"
"8BKY","4","1100","1100","Success","0.00011"
"4HYF","4","1110","1110","Success","0.00038"
"7AK3","4","100","100","Success","0.00055"
"1G9J","4","111","111","Success","0.00039"
"4CMU","4","1000","1000","Success","0.00057"
"2FYG","4","1","1","Success","0.00088"
"8HJ0","4","1010","1010","Success","0.00031"
"4WJM","4","1110","1110","Success","0.00055"
"6G8W","4","1000","1000","Success","0.00075"
"5KGL","4","1101","1101","Success","0.00031"
"8S90","4","11","11","Success","0.00021"
"7W72","4","1","1","Success","0.0002"
"2Q0B","4","100","100","Success","0.00042"
"6CPA","4","1001","1001","Success","0.00057"
"7NME","4","1","1","Success","0.00035"
"7U0D","4","10","10","Success","0.0003"
"5RXL","4","1011","1011","Success","0.00042"
"3C3C","4","1","1","Success","0.00036"
"2G3J","4","1","1","Success","0.00055"
"4E3E","4","1110","1110","Success","0.00036"
"3SWA","4","100","100","Success","0.00033"
"9CQJ","4","100","100","Success","0.00031"
"3Q9S","4","1110","1110","Success","0.00068"
"1S3N","4","10","10","Success","0.00054"
"1PDR","4","1000","1000","Success","0.00102"
"7Y8U","4","111","111","Success","0.00038"
"3EBQ","4","100","100","Success","0.00083"
"7E7I","4","1000","1000","Success","0.00023"
"6ALV","4","101","101","Success","0.00057"
"6NM8","4","1001","1001","Success","0.00062"
"6KIL","4","101","101","Success","0.00091"
"3JUJ","4","111","111","Success","0.0003"
"3KBG","4","1011","1011","Success","0.00075"
"2KRE","4","0","0","Success","0.00022"
"6T9Q","4","1111","1111","Success","0.00126"
"1B72","4","1111","1111","Success","0.00084"
"7Z6D","4","1110","1110","Success","0.0006"
"6L6E","4","100","100","Success","0.00055"
"7QOM","4","1100","1100","Success","0.00046"
"8VIF","4","1001","1001","Success","0.00048"
"2RUU","4","1000","1000","Success","0.00037"
"3B62","4","1100","1100","Success","0.0005"
"5V7W","4","0","0","Success","0.00054"
"7RBV","4","111","111","Success","0.00016"
"7SV9","4","111","111","Success","0.0005"
"6PZG","4","10","10","Success","0.00047"
"3DPS","4","101","101","Success","0.00045"
"2ZGG","4","1111","1111","Success","0.00106"
"7L8Y","4","0","0","Success","0.00023"
"8XBM","4","111","111","Success","0.00019"
"2R4R","4","1001","1001","Success","0.0004"
"8U4O","4","1100","1100","Success","0.00031"
"2HBC","4","1111","1111","Success","0.00059"
"7GDI","4","101","101","Success","0.00057"
"5NK3","4","101","101","Success","0.00059"
"6I4F","4","1001","1001","Success","0.00044"
"4DDV","4","1000","1000","Success","0.00021"
"1TDC","4","111","111","Success","0.00057"
"6YZZ","4","110","110","Success","0.00081"
"7MRD","4","10","10","Success","0.00066"
"2ZDG","4","11","11","Success","0.00029"
"5IDP","4","1111","1111","Success","0.00039"
"4P14","4","1100","1100","Success","0.00066"
"4AKC","4","100","100","Success","0.00041"
"6ZUI","4","11","11","Success","0.0005"
"8A9T","4","1100","1100","Success","0.00021"
"7CRS","4","1010","1010","Success","0.00061"
"8TZQ","4","1111","1111","Success","0.00028"
"5DAQ","4","101","101","Success","0.00059"
"3Q1I","4","0","0","Success","0.00064"
"1ZAG","4","1111","1111","Success","0.00031"
"3DDT","4","1000","1000","Success","0.0008"
"5L3Q","4","101","101","Success","0.0003"
"1UES","4","1111","1111","Success","0.00036"
"3G0Q","4","1011","1011","Success","0.00053"
"5F0S","4","1","1","Success","0.00053"
"8RWY","4","11","11","Success","0.00022"
"6NVW","4","111","111","Success","0.00037"
"1VDX","4","1001","1001","Success","0.00074"
"8Q6X","4","11","11","Success","0.00036"
"2ZDX","4","101","101","Success","0.00037"
"7BJD","4","110","110","Success","0.00062"
"5WR4","4","100","100","Success","0.00055"
"1T1Q","4","101","101","Success","0.00037"
"4HMT","4","111","111","Success","0.00047"
"6EVK","4","100","100","Success","0.00021"
"1JJA","4","1111","1111","Success","0.00023"
"1PTT","4","101","101","Success","0.00058"
"3VT5","4","1101","1101","Success","0.00061"
"8J8O","4","1100","1100","Success","0.00043"
"6QD5","4","100","100","Success","0.00053"
"5HYG","4","1101","1101","Success","0.00058"
"1CZ4","4","1111","1111","Success","0.00073"
"1XZ6","4","10","10","Success","0.00062"
"3AKI","4","1001","1001","Success","0.00046"
"2H68","4","0","0","Success","0.00039"
"8GGS","4","101","101","Success","0.00058"
"8EVO","4","1","1","Success","0.00031"
"6SBE","4","1001","1001","Success","0.00051"
"3IJ2","4","1100","1100","Success","0.00043"
"5J94","4","100","100","Success","0.00067"
"5DWU","4","1010","1010","Success","0.00037"
"7ZY8","4","1101","1101","Success","0.00039"
"8AY1","4","110","110","Success","0.00035"
"5F8L","4","1111","1111","Success","0.00047"
